	Lower state (i)			Upper state (k)		
fik	Configuration	term	J	Configuration	term	J
1.55E-01	4s4p	3P	0	4s5s	3S	1
1.55E-01	4s4p	3P	1	4s5s	3S	1
1.55E-01	4s4p	3P	2	4s5s	3S	1
1.42E-05	4s4p	1P	1	4s5s	3S	1
2.58E-06	4s4p	3P	1	4s5s	1S	0
1.23E-01	4s4p	1P	1	4s5s	1S	0
9.51E-05	3d4p	3F	2	4s6s	3S	1
6.99E-04	3d4p	1D	2	4s6s	3S	1
2.67E-01	4s5p	3P	0	4s6s	3S	1
2.65E-01	4s5p	3P	1	4s6s	3S	1
2.68E-01	4s5p	3P	2	4s6s	3S	1
2.89E-03	4s5p	1P	1	4s6s	3S	1
1.84E-02	4s4p	3P	0	4s6s	3S	1
1.58E-05	3d4p	3D	1	4s6s	3S	1
2.94E-05	3d4p	3D	2	4s6s	3S	1
4.09E-02	3d4p	3P	0	4s6s	3S	1
1.88E-02	4s4p	3P	1	4s6s	3S	1
4.09E-02	3d4p	3P	1	4s6s	3S	1
4.09E-02	3d4p	3P	2	4s6s	3S	1
1.96E-02	4s4p	3P	2	4s6s	3S	1
6.21E-07	4s4p	1P	1	4s6s	3S	1
1.69E-03	4s5p	3P	1	4s6s	1S	0
1.75E-01	4s5p	1P	1	4s6s	1S	0
6.66E-05	3d4p	3D	1	4s6s	1S	0
5.91E-05	4s4p	3P	1	4s6s	1S	0
2.91E-05	3d4p	3P	1	4s6s	1S	0
2.44E-03	4s4p	1P	1	4s6s	1S	0
1.22E-05	3d4p	3F	2	4s7s	3S	1
8.60E-05	3d4p	1D	2	4s7s	3S	1
3.29E-02	4s5p	3P	0	4s7s	3S	1
3.25E-02	4s5p	3P	1	4s7s	3S	1
3.26E-02	4s5p	3P	2	4s7s	3S	1
3.26E-04	4s5p	1P	1	4s7s	3S	1
1.01E-02	4s4p	3P	0	4s7s	3S	1
1.13E-07	3d4p	3D	1	4s7s	3S	1
1.68E-07	3d4p	3D	2	4s7s	3S	1
1.37E-03	3d4p	3P	0	4s7s	3S	1
1.02E-02	4s4p	3P	1	4s7s	3S	1
1.41E-03	3d4p	3P	1	4s7s	3S	1
1.49E-03	3d4p	3P	2	4s7s	3S	1
1.01E-06	4s6p	1P	1	4s7s	3S	1
4.42E-12	4s4f	3F	2	4s7s	3S	1
1.03E-02	4s4p	3P	2	4s7s	3S	1
3.95E-01	4s6p	3P	0	4s7s	3S	1
3.95E-01	4s6p	3P	1	4s7s	3S	1
3.96E-01	4s6p	3P	2	4s7s	3S	1
4.07E-07	4snp	1P	1	4s7s	3S	1
2.82E-07	4s4p	1P	1	4s7s	3S	1
4.01E-04	4s5p	3P	1	4s7s	1S	0
4.04E-02	4s5p	1P	1	4s7s	1S	0
2.61E-06	3d4p	3D	1	4s7s	1S	0
1.96E-07	4s4p	3P	1	4s7s	1S	0
5.23E-08	3d4p	3P	1	4s7s	1S	0
1.66E-01	4s6p	1P	1	4s7s	1S	0
5.64E-07	4s6p	3P	1	4s7s	1S	0
1.31E-01	4snp	1P	1	4s7s	1S	0
8.03E-03	4s4p	1P	1	4s7s	1S	0
6.95E-09	3d4p	3F	2	4s8s	3S	1
7.03E-07	3d4p	1D	2	4s8s	3S	1
8.21E-03	4s5p	3P	0	4s8s	3S	1
8.14E-03	4s5p	3P	1	4s8s	3S	1
8.24E-03	4s5p	3P	2	4s8s	3S	1
7.89E-05	4s5p	1P	1	4s8s	3S	1
1.49E-07	3d4p	3D	1	4s8s	3S	1
3.86E-07	3d4p	3D	2	4s8s	3S	1
3.58E-03	4s4p	3P	0	4s8s	3S	1
4.47E-04	3d4p	3P	0	4s8s	3S	1
4.29E-04	3d4p	3P	1	4s8s	3S	1
3.94E-04	3d4p	3P	2	4s8s	3S	1
3.58E-03	4s4p	3P	1	4s8s	3S	1
1.84E-07	4s6p	1P	1	4s8s	3S	1
5.76E-12	4s4f	3F	2	4s8s	3S	1
