Configuration	Term	Term	Parity	J	Level (cm-1)
1s2	1S	1S	1	0	0
1s2s	3S	3S	1	1	159855.9743
1s2s	1S	1S	1	0	166277.4401
1s2p	3P	3P°	-1	2	169086.7665
1s2p	3P	3P°	-1	1	169086.8429
1s2p	3P	3P°	-1	0	169087.8308
1s2p	1P	1P°	-1	1	171134.8969
1s3s	3S	3S	1	1	183236.7917
1s3s	1S	1S	1	0	184864.8293
1s3p	3P	3P°	-1	2	185564.5619
1s3p	3P	3P°	-1	1	185564.5839
1s3p	3P	3P°	-1	0	185564.8545
1s3d	3D	3D	1	3	186101.5462
1s3d	3D	3D	1	2	186101.5487
1s3d	3D	3D	1	1	186101.5929
1s3d	1D	1D	1	2	186104.9667
1s3p	1P	1P°	-1	1	186209.3649
1s4s	3S	3S	1	1	190298.1133
1s4s	1S	1S	1	0	190940.2264
1s4p	3P	3P°	-1	2	191217.041
1s4p	3P	3P°	-1	1	191217.05
1s4p	3P	3P°	-1	0	191217.1603
1s4d	3D	3D	1	3	191444.4809
1s4d	3D	3D	1	2	191444.4821
1s4d	3D	3D	1	1	191444.5007
1s4d	1D	1D	1	2	191446.4557
1s4f	3F	3F°	-1	3	191451.8739
1s4f	3F	3F°	-1	4	191451.8811
1s4f	3F	3F°	-1	2	191451.8897
1s4f	1F	1F°	-1	3	191451.8975
1s4p	1P	1P°	-1	1	191492.7119
1s5s	3S	3S	1	1	193346.9913
1s5s	1S	1S	1	0	193663.5121
1s5p	3P	3P°	-1	2	193800.7076
1s5p	3P	3P°	-1	1	193800.7121
1s5p	3P	3P°	-1	0	193800.7676
1s5d	3D	3D	1	3	193917.1513
1s5d	3D	3D	1	2	193917.1519
1s5d	3D	3D	1	1	193917.1614
1s5d	1D	1D	1	2	193918.2899
1s5f	3F	3F°	-1	3	193921.1183
1s5f	3F	3F°	-1	4	193921.1213
1s5f	3F	3F°	-1	2	193921.1258
1s5f	1F	1F°	-1	3	193921.1309
1s5g	3G	3G	1	4	193921.6149
1s5g	3G	3G	1	5	193921.6177
1s5g	3G	3G	1	3	193921.6202
1s5g	1G	1G	1	4	193921.6219
1s5p	1P	1P°	-1	1	193942.4623
1s6s	3S	3S	1	1	194936.1197
1s6s	1S	1S	1	0	195114.8687
1s6p	3P	3P°	-1	2	195192.743
1s6p	3P	3P°	-1	1	195192.7456
1s6p	3P	3P°	-1	0	195192.7773
1s6d	3D	3D	1	3	195260.0714
1s6d	3D	3D	1	2	195260.0717
1s6d	3D	3D	1	1	195260.0772
1s6d	1D	1D	1	2	195260.7705
1s6f	3F	3F°	-1	3	195262.4242
1s6f	3F	3F°	-1	4	195262.4258
1s6f	3F	3F°	-1	2	195262.4284
1s6f	1F	1F°	-1	3	195262.4318
1s6g	3G	3G	1	4	195262.7231
1s6g	3G	3G	1	5	195262.7247
1s6g	3G	3G	1	3	195262.7261
1s6g	1G	1G	1	4	195262.7271
1s6h	3H	3H°	-1	5	195262.7931
1s6h	3H	3H°	-1	6	195262.7941
1s6h	3H	3H°	-1	4	195262.795
1s6h	1H	1H°	-1	5	195262.7958
1s6p	1P	1P°	-1	1	195274.9085
1s7s	3S	3S	1	1	195868.237
1s7s	1S	1S	1	0	195978.8952
1s7p	3P	3P°	-1	2	196027.315
1s7p	3P	3P°	-1	1	196027.3166
1s7p	3P	3P°	-1	0	196027.3365
1s7d	3D	3D	1	3	196069.6728
1s7d	3D	3D	1	2	196069.673
1s7d	3D	3D	1	1	196069.6765
1s7d	1D	1D	1	2	196070.1284
1s7f	3F	3F°	-1	3	196071.1762
1s7f	3F	3F°	-1	4	196071.1771
1s7f	3F	3F°	-1	2	196071.1787
1s7f	1F	1F°	-1	3	196071.1811
1s7g	3G	3G	1	4	196071.3687
1s7g	3G	3G	1	5	196071.3697
1s7g	3G	3G	1	3	196071.3707
1s7g	1G	1G	1	4	196071.3713
1s7h	3H	3H°	-1	5	196071.4145
1s7h	3H	3H°	-1	6	196071.4152
1s7h	3H	3H°	-1	4	196071.4158
1s7h	1H	1H°	-1	5	196071.4162
1s7i	3I	3I	1	6	196071.4289
1s7i	3I	3I	1	7	196071.4294
1s7i	3I	3I	1	5	196071.4298
1s7i	1I	1I	1	6	196071.4301
1s7p	1P	1P°	-1	1	196079.0876
1s8s	3S	3S	1	1	196461.3618
1s8s	1S	1S	1	0	196534.5642
1s8p	3P	3P°	-1	2	196566.7118
1s8p	3P	3P°	-1	1	196566.7129
1s8p	3P	3P°	-1	0	196566.7261
1s8d	3D	3D	1	3	196595.0622
1s8d	3D	3D	1	2	196595.0624
1s8d	3D	3D	1	1	196595.0647
1s8d	1D	1D	1	2	196595.3741
1s8f	3F	3F°	-1	3	196596.0788
1s8f	3F	3F°	-1	4	196596.0794
1s8f	3F	3F°	-1	2	196596.0804
1s8f	1F	1F°	-1	3	196596.0821
1s8g	3G	3G	1	4	196596.2097
1s8g	3G	3G	1	5	196596.2103
1s8g	3G	3G	1	3	196596.2109
1s8g	1G	1G	1	4	196596.2114
1s8h	3H	3H°	-1	5	196596.2411
1s8h	3H	3H°	-1	6	196596.2415
1s8h	3H	3H°	-1	4	196596.2419
1s8h	1H	1H°	-1	5	196596.2422
1s8i	3I	3I	1	6	196596.2511
1s8i	3I	3I	1	7	196596.2514
1s8i	3I	3I	1	5	196596.2516
1s8i	1I	1I	1	6	196596.2519
1s8k	3K	3K°	-1	7	196596.2549
1s8k	3K	3K°	-1	8	196596.2551
1s8k	3K	3K°	-1	6	196596.2553
1s8k	1K	1K°	-1	7	196596.2555
1s8p	1P	1P°	-1	1	196601.4002
1s9s	3S	3S	1	1	196861.9873
1s9s	1S	1S	1	0	196912.9027
1s9p	3P	3P°	-1	2	196935.3314
1s9p	3P	3P°	-1	1	196935.3322
1s9p	3P	3P°	-1	0	196935.3414
1s9d	3D	3D	1	3	196955.2265
1s9d	3D	3D	1	2	196955.2266
1s9d	3D	3D	1	1	196955.2283
1s9d	1D	1D	1	2	196955.4488
1s9f	3F	3F°	-1	3	196955.945
1s9f	3F	3F°	-1	4	196955.9454
1s9f	3F	3F°	-1	2	196955.9462
1s9f	1F	1F°	-1	3	196955.9474
1s9g	3G	3G	1	4	196956.0379
1s9g	3G	3G	1	5	196956.0383
1s9g	3G	3G	1	3	196956.0388
1s9g	1G	1G	1	4	196956.0391
1s9h	3H	3H°	-1	5	196956.0603
1s9h	3H	3H°	-1	6	196956.0606
1s9h	3H	3H°	-1	4	196956.0609
1s9h	1H	1H°	-1	5	196956.0611
1s9i	3I	3I	1	6	196956.0675
1s9i	3I	3I	1	7	196956.0677
1s9i	3I	3I	1	5	196956.0679
1s9i	1I	1I	1	6	196956.068
1s9k	3K	3K°	-1	7	196956.0703
1s9k	3K	3K°	-1	8	196956.0704
1s9k	3K	3K°	-1	6	196956.0706
1s9k	1K	1K°	-1	7	196956.0707
1s9p	1P	1P°	-1	1	196959.6928
1s10s	3S	3S	1	1	197145.2333
1s10s	1S	1S	1	0	197182.0655
1s10p	3P	3P°	-1	2	197198.3327
1s10p	3P	3P°	-1	1	197198.3333
1s10p	3P	3P°	-1	0	197198.34
1s10d	3D	3D	1	3	197212.8259
1s10d	3D	3D	1	2	197212.8259
1s10d	3D	3D	1	1	197212.8271
1s10d	1D	1D	1	2	197212.9895
1s10f	3F	3F°	-1	3	197213.352
1s10f	3F	3F°	-1	4	197213.3523
1s10f	3F	3F°	-1	2	197213.3528
1s10f	1F	1F°	-1	3	197213.3537
1s10g	3G	3G	1	4	197213.4202
1s10g	3G	3G	1	5	197213.4205
1s10g	3G	3G	1	3	197213.4208
1s10g	1G	1G	1	4	197213.421
1s10h	3H	3H°	-1	5	197213.4367
1s10h	3H	3H°	-1	6	197213.4369
1s10h	3H	3H°	-1	4	197213.4371
1s10h	1H	1H°	-1	5	197213.4373
1s10i	3I	3I	1	6	197213.442
1s10i	3I	3I	1	7	197213.4422
1s10i	3I	3I	1	5	197213.4423
1s10i	1I	1I	1	6	197213.4424
1s10k	3K	3K°	-1	7	197213.4441
1s10k	3K	3K°	-1	8	197213.4442
1s10k	3K	3K°	-1	6	197213.4443
1s10k	1K	1K°	-1	7	197213.4444
1s10p	1P	1P°	-1	1	197216.0896
1s11p	1P	1P°	-1	1	197405.87
1s12p	1P	1P°	-1	1	197550.24
1s13p	1P	1P°	-1	1	197662.63
1s14p	1P	1P°	-1	1	197751.82
1s15p	1P	1P°	-1	1	197823.79
