fik	Lower Level   Conf., Term, J			Upper Level   Conf., Term, J		

1.84E-03	1s2	1S	0	1s10p	1P	1
2.53E-03	1s2	1S	0	1s9p	1P	1
						
3.61E-03	1s2	1S	0	1s8p	1P	1
5.41E-03	1s2	1S	0	1s7p	1P	1
8.63E-03	1s2	1S	0	1s6p	1P	1
1.50E-02	1s2	1S	0	1s5p	1P	1
2.99E-02	1s2	1S	0	1s4p	1P	1
						
7.35E-02	1s2	1S	0	1s3p	1P	1
2.76E-01	1s2	1S	0	1s2p	1P	1
2.78E-08	1s2	1S	0	1s2p	3P	1
	2s2p	3P	0,1,2	2p3p	3D	1,2,3
1.58E-04	1s2s	3S	1	1s10p	3P	0
4.75E-04	1s2s	3S	1	1s10p	3P	1
7.92E-04	1s2s	3S	1	1s10p	3P	2
2.19E-04	1s2s	3S	1	1s9p	3P	0
						
6.57E-04	1s2s	3S	1	1s9p	3P	1
1.09E-03	1s2s	3S	1	1s9p	3P	2
3.15E-04	1s2s	3S	1	1s8p	3P	0
9.46E-04	1s2s	3S	1	1s8p	3P	1
1.58E-03	1s2s	3S	1	1s8p	3P	2
						
4.78E-04	1s2s	3S	1	1s7p	3P	0
1.43E-03	1s2s	3S	1	1s7p	3P	1
2.39E-03	1s2s	3S	1	1s7p	3P	2
	2p2	3P	0,1,2	2p3d	3P	0,1,2
7.76E-04	1s2s	3S	1	1s6p	3P	0
						
2.33E-03	1s2s	3S	1	1s6p	3P	1
3.88E-03	1s2s	3S	1	1s6p	3P	2
1.39E-03	1s2s	3S	1	1s5p	3P	0
4.16E-03	1s2s	3S	1	1s5p	3P	1
6.94E-03	1s2s	3S	1	1s5p	3P	2
						
	2p2	3P	0,1,2	2p3d	3D	1,2,3
2.86E-03	1s2s	3S	1	1s4p	3P	0
8.59E-03	1s2s	3S	1	1s4p	3P	1
1.43E-02	1s2s	3S	1	1s4p	3P	2
2.40E-03	1s2s	1S	0	1s10p	1P	1
						
3.33E-03	1s2s	1S	0	1s9p	1P	1
4.81E-03	1s2s	1S	0	1s8p	1P	1
7.36E-03	1s2s	1S	0	1s7p	1P	1
1.21E-02	1s2s	1S	0	1s6p	1P	1
4.14E-05	1s2p	3P	2	1s10d	3D	1
						
6.21E-04	1s2p	3P	2	1s10d	3D	2
3.48E-04	1s2p	3P	2	1s10d	3D	3
1.03E-03	1s2p	3P	1	1s10d	3D	1
3.10E-03	1s2p	3P	1	1s10d	3D	2
4.14E-03	1s2p	3P	0	1s10d	3D	1
						
3.07E-04	1s2p	3P	2	1s10s	3S	1
3.07E-04	1s2p	3P	1	1s10s	3S	1
3.07E-04	1s2p	3P	0	1s10s	3S	1
5.83E-05	1s2p	3P	2	1s9d	3D	1
8.74E-04	1s2p	3P	2	1s9d	3D	2
						
4.89E-03	1s2p	3P	2	1s9d	3D	3
1.46E-03	1s2p	3P	1	1s9d	3D	1
4.37E-03	1s2p	3P	1	1s9d	3D	2
5.83E-03	1s2p	3P	0	1s9d	3D	1
4.36E-04	1s2p	3P	2	1s9s	3S	1
						
4.36E-04	1s2p	3P	1	1s9s	3S	1
4.36E-04	1s2p	3P	0	1s9s	3S	1
2.23E-02	1s2s	1S	0	1s5p	1P	1
8.61E-05	1s2p	3P	2	1s8d	3D	1
1.29E-03	1s2p	3P	2	1s8d	3D	2
						
7.23E-03	1s2p	3P	2	1s8d	3D	3
2.15E-03	1s2p	3P	1	1s8d	3D	1
6.45E-03	1s2p	3P	1	1s8d	3D	2
8.61E-03	1s2p	3P	0	1s8d	3D	1
6.50E-04	1s2p	3P	2	1s8s	3S	1
						
6.50E-04	1s2p	3P	1	1s8s	3S	1
6.50E-04	1s2p	3P	0	1s8s	3S	1
1.36E-04	1s2p	3P	2	1s7d	3D	1
2.03E-03	1s2p	3P	2	1s7d	3D	2
1.14E-02	1s2p	3P	2	1s7d	3D	3
						
3.39E-03	1s2p	3P	1	1s7d	3D	1
1.02E-02	1s2p	3P	1	1s7d	3D	2
1.36E-02	1s2p	3P	0	1s7d	3D	1
1.04E-03	1s2p	3P	2	1s7s	3S	1
1.04E-03	1s2p	3P	1	1s7s	3S	1
						
1.04E-03	1s2p	3P	0	1s7s	3S	1
2.35E-04	1s2p	3P	2	1s6d	3D	1
3.52E-03	1s2p	3P	2	1s6d	3D	2
1.97E-02	1s2p	3P	2	1s6d	3D	3
5.87E-03	1s2p	3P	1	1s6d	3D	1
						
1.76E-02	1s2p	3P	1	1s6d	3D	2
