Configuration	Term	Term	Parity	J	Level (cm-1)
5s2	1S	1S	1	0	0
5s5p	3P	3P°	-1	0	14317.507
5s5p	3P	3P°	-1	1	14504.334
5s5p	3P	3P°	-1	2	14898.545
5s4d	3D	3D	1	1	18159.04
5s4d	3D	3D	1	2	18218.784
5s4d	3D	3D	1	3	18319.261
5s4d	1D	1D	1	2	20149.685
5s5p	1P	1P°	-1	1	21698.452
5s6s	3S	3S	1	1	29038.773
5s6s	1S	1S	1	0	30591.825
5s4d	3F	3F°	-1	2	33266.851
5s4d	3F	3F°	-1	3	33589.709
5s4d	3F	3F°	-1	4	33919.315
4d5p	1D	1D°	-1	2	33826.899
5s6p	3P	3P°	-1	0	33853.49
5s6p	3P	3P°	-1	1	33868.317
5s6p	3P	3P°	-1	2	33973.065
5s6p	1P	1P°	-1	1	34098.404
5s5d	1D	1D	1	2	34727.447
5s5d	3D	3D	1	1	35006.908
5s5d	3D	3D	1	2	35021.989
5s5d	3D	3D	1	3	35045.019
5p2	3P	3P	1	0	35193.442
5p2	3P	3P	1	1	35400.105
5p2	3P	3P	1	2	35674.637
4d5p	3D	3D°	-1	1	36264.151
4d5p	3D	3D°	-1	2	36381.746
4d5p	3D	3D°	-1	3	36559.492
5p2	1D	1D	1	2	36960.842
5p2	1S	1S	1	0	37160.234
4d5p	3P	3P°	-1	0	37292.074
4d5p	3P	3P°	-1	1	37302.731
4d5p	3P	3P°	-1	2	37336.591
5s7s	3S	3S	1	1	37424.675
4d5p	1F	1F°	-1	3	38007.742
5s7s	1S	1S	1	0	38444.013
5s4f	3F	3F°	-1	2	38750.42
5s4f	3F	3F°	-1	3	38752.41
5s4f	3F	3F°	-1	4	38755.175
5s7p	1P	1P°	-1	1	38906.858
5s7p	3P	3P°	-1	0	39411.669
5s7p	3P	3P°	-1	1	39426.442
5s7p	3P	3P°	-1	2	39457.383
5s4f	1F	1F°	-1	3	39539.013
5s6d	3D	3D	1	1	39685.83
5s6d	3D	3D	1	2	39690.802
5s6d	3D	3D	1	3	39703.109
5s6d	1D	1D	1	2	39733.067
5s8s	3S	3S	1	1	40761.372
5s8s	1S	1S	1	0	41052.324
4d5p	1P	1P°	-1	1	41172.054
5s5f	3F	3F°	-1	2	41364.602
5s5f	3F	3F°	-1	3	41365.482
5s5f	3F	3F°	-1	4	41366.67
5s5f	1F	1F°	-1	3	41519.04
