f_ik	Lower Level i  Conf., Term, J			Upper Level k  Conf., Term, J				
0	5s2	1S	0	4d6p	3P	1		
0	5s2	1S	0	4d6p	3D	1		
5.55E-04	5s2	1S	0	5s20p	1P	1		
6.90E-04	5s2	1S	0	5s19p	1P	1		
	5s2	1S	0	5s19s	1S	0		
9.10E-04	5s2	1S	0	5s18p	1P	1		
	5s2	1S	0	5s18s	1S	0		
1.10E-03	5s2	1S	0	5s17p	1P	1		
	5s2	1S	0	5s17s	1S	0		
1.40E-03	5s2	1S	0	5s16p	1P	1		
	5s2	1S	0	5s16s	1S	0		
1.90E-03	5s2	1S	0	5s15p	1P	1		
	5s2	1S	0	5s15s	1S	0		
2.59E-03	5s2	1S	0	5s14p	1P	1		
	5s2	1S	0	5s14s	1S	0		
3.50E-03	5s2	1S	0	5s13p	1P	1		
	5s2	1S	0	5s13s	1S	0		
	5s2	1S	0	4d2	3P	2		
5.40E-03	5s2	1S	0	5s12p	1P	1		
	5s2	1S	0	4d2	3P	0		
	5s2	1S	0	5s12s	1S	0		
8.50E-03	5s2	1S	0	5s11p	1P	1		
1.50E-02	5s2	1S	0	5s10p	1P	1		
2.76E-02	5s2	1S	0	5s9p	1P	1		
4.50E-02	5s2	1S	0	5s8p	1P	1		
4.50E-02	5s2	1S	0	4d5p	1P	1		
1.60E-02	5s2	1S	0	5s7p	1P	1		
7.30E-03	5s2	1S	0	5s6p	1P	1		
	5s4d	3D	2	4d6p	3P	2		
	5s4d	3D	2	4d6p	3D	3		
	5s4d	3D	3	4d6p	3P	2		
	5s4d	3D	1	4d6p	3D	2		
	5s4d	3D	3	4d6p	3D	3		
	5s4d	3D	2	4d6p	3D	2		
	5s4d	3D	1	4d6p	3D	1		
	5s4d	3D	3	4d6p	3D	2		
	5s4d	3D	2	4d6p	3D	1		
2.90E-01	5s5p	3P	0	4d2	3P	1		
	5s5p	3P	1	4d2	3P	2		
	5s5p	3P	1	4d2	3P	1		
	5s5p	3P	1	4d2	3P	0		
	5s5p	3P	2	4d2	3P	2		
	5s5p	3P	2	4d2	3P	1		
	5s5p	3P	1	5s8d	3D	2		
	5s5p	3P	2	5s8d	3D	3		
	5s5p	3P	1	5s9s	3S	1		
	5s5p	3P	2	5s9s	3S	1		
	5s5p	3P	0	5s7d	3D	1		
	5s4d	3D	1	5s19f	3F	2		
	5s4d	3D	2	5s20f	3F	3		
	5s4d	3D	1	5s18f	3F	2		
	5s4d	3D	2	5s19f	3F	3		
	5s4d	3D	1	5s17f	3F	2		
	5s4d	3D	2	5s18f	3F	3		
	5s5p	3P	1	5s7d	3D	2		
	5s5p	3P	1	5s7d	3D	1		
	5s4d	3D	1	5s16f	3F	2		
	5s4d	3D	3	5s20f	3F	4		
	5s4d	3D	2	5s17f	3F	3		
	5s4d	3D	3	5s19f	3F	4		
	5s4d	3D	2	5s16f	3F	3		
	5s4d	3D	1	5s15f	3F	2		
	5s4d	3D	3	5s18f	3F	4		
	5s4d	3D	3	5s17f	3F	4		
	5s4d	3D	2	5s15f	3F	3		
	5s4d	3D	1	5s14f	3F	2		
	5s4d	3D	3	5s16f	3F	4		
	5s4d	3D	2	5s14f	3F	3		
	5s4d	3D	3	5s15f	3F	4		
	5s4d	3D	1	5s13f	3F	2		
	5s4d	3D	2	5s13f	3F	3		
	5s4d	3D	3	5s14f	3F	4		
	5s4d	3D	1	5s12f	3F	2		
	5s5p	3P	2	5s7d	3D	3		
	5s5p	3P	2	5s7d	3D	2		
	5s4d	3D	3	5s13f	3F	4		
	5s4d	3D	2	5s12f	3F	3		
	5s4d	3D	1	5s11f	3F	2		
	5s4d	3D	3	5s12f	3F	4		
	5s4d	3D	2	5s11f	3F	3		
	5s4d	3D	3	5s11f	3F	4		
	5s4d	3D	1	5s10f	3F	2		
	5s4d	3D	2	5s10f	3F	3		
	5s4d	3D	3	5s10f	3F	4		
	5s5p	3P	0	5s8s	3S	1		
	5s4d	3D	1	5s9f	3F	2		
	5s4d	3D	2	5s9f	3F	3		
	5s4d	3D	2	5s9f	3F	2		
	5s5p	3P	1	5s8s	3S	1		
	5s4d	3D	3	5s9f	3F	4		
	5s4d	3D	3	5s9f	3F	3		
	5s4d	3D	1	5s8f	3F	2		
	5s4d	3D	2	5s8f	3F	3		
	5s5p	3P	2	5s8s	3S	1		
	5s4d	3D	3	5s8f	3F	4		
	5s4d	1D	2	5s20f	1F	3		
	5s4d	1D	2	5s19f	1F	3		
	5s4d	3D	1	5s7f	3F	2		
	5s4d	1D	2	5s18f	1F	3		
	5s4d	1D	2	5s20p	1P	1		
	5s4d	3D	2	5s7f	3F	3		
	5s4d	3D	2	5s7f	3F	2		
	5s4d	1D	2	5s17f	1F	3		
	5s4d	1D	2	5s19p	1P	1		
0.099	5s5p	3P	0	5s6d	3D	1		
	5s4d	1D	2	5s16f	1F	3		
	5s4d	1D	2	5s18p	1P	1		
	5s4d	3D	3	5s7f	3F	4		
	5s4d	3D	3	5s7f	3F	3		
	5s4d	1D	2	5s15f	1F	3		
	5s4d	1D	2	5s17p	1P	1		
	5s5p	3P	1	5s6d	1D	2		
	5s4d	1D	2	5s14f	1F	3		
	5s5p	3P	1	5s6d	3D	2		
	5s5p	3P	1	5s6d	3D	1		
	5s4d	1D	2	5s16p	1P	1		
	5s4d	1D	2	5s13f	1F	3		
	5s4d	1D	2	5s15p	1P	1		
	5s4d	1D	2	5s12f	1F	3		
	5s4d	1D	2	5s14p	1P	1		
	5s4d	1D	2	5s11f	1F	3		
	5s5p	3P	2	5s6d	3D	3		
	5s5p	3P	2	5s6d	3D	2		
	5s5p	3P	2	5s6d	3D	1		
	5s4d	1D	2	5s13p	1P	1		
	5s4d	1D	2	5s10f	1F	3		
	5s4d	3D	1	5s6f	3F	2		
	5s4d	3D	2	5s6f	3F	3		
0	5s4d	3D	2	5s6f	3F	2		
	5s4d	1D	2	5s12p	1P	1		
	5s4d	3D	3	5s6f	3F	4		
	5s4d	3D	3	5s6f	3F	3		
	5s4d	1D	2	5s9f	1F	3		
	5s4d	1D	2	5s11p	1P	1		
	5s4d	1D	2	5s8f	1F	3		
	5s5p	1P	1	5s20d	1D	2		
	5s5p	1P	1	5s19d	1D	2		
	5s5p	1P	1	5s20s	1S	0		
	5s5p	1P	1	5s18d	1D	2		
	5s5p	1P	1	5s19s	1S	0		
	5s4d	1D	2	5s10p	1P	1		
	5s5p	1P	1	5s18d	3D	2		
	5s5p	1P	1	5s17d	1D	2		
	5s5p	1P	1	5s18s	1S	0		
	5s5p	1P	1	5s17d	3D	2		
	5s5p	1P	1	5s16d	1D	2		
	5s5p	1P	1	5s16d	3D	2		
	5s5p	1P	1	5s17s	1S	0		
	5s5p	1P	1	5s15d	3D	2		
	5s5p	1P	1	5s15d	1D	2		
	5s5p	1P	1	5s16s	1S	0		
2.90E-02	5s4d	1D	2	5s7f	1F	3		
	5s4d	1D	2	5s7f	3F	3		
	5s5p	1P	1	5s14d	3D	2		
	5s5p	1P	1	5s14d	1D	2		
	5s5p	1P	1	5s15s	1S	0		
	5s5p	1P	1	5s13d	1D	2		
	5s5p	1P	1	5s14s	1S	0		
	5s4d	3D	1	5s5f	3F	2		
2.20E-02	5s4d	1D	2	5s9p	1P	1		
	5s4d	3D	2	5s5f	3F	3		
	5s4d	3D	2	5s5f	3F	2		
	5s5p	1P	1	5s12d	1D	2		
2.60E-02	5s5p	3P	0	5s7s	3S	1		
	5s5p	1P	1	5s13s	1S	0		
	5s4d	3D	3	5s5f	3F	4		
	5s4d	3D	3	5s5f	3F	3		
	5s5p	1P	1	4d2	3P	2		
2.80E-02	5s5p	3P	1	5s7s	3S	1		
	5s5p	1P	1	4d2	3P	1		
	5s5p	1P	1	5s11d	1D	2		
	5s5p	1P	1	4d2	3P	0		
	5s5p	1P	1	5s12s	1S	0		
	5s5p	1P	1	5s12s	3S	1		
4.90E-02	5s4d	1D	2	5s6f	1F	3		
	5s5p	3P	1	5p2	1S	0		
	5s4d	1D	2	5s6f	3F	3		
	5s5p	1P	1	5s10d	3D	2		
	5s5p	1P	1	5s10d	1D	2		
2.75E-02	5s5p	3P	2	5s7s	3S	1		
	5s5p	3P	1	5p2	1D	2		
	5s5p	1P	1	5s11s	1S	0		
	5s5p	1P	1	5s11s	3S	1		
3.40E-02	5s4d	1D	2	5s8p	1P	1		
	5s5p	1P	1	5s9d	3D	2		
	5s5p	3P	2	5p2	1D	2		
	5s5p	1P	1	5s9d	1D	2		
	5s5p	1P	1	5s10s	1S	0		
	5s5p	1P	1	5s10s	3S	1		
1.92E+00	5s2	1S	0	5s5p	1P	1		
	5s5p	1P	1	5s8d	3D	2		
8.70E-02	5s4d	1D	2	5s5f	1F	3		
	5s5p	1P	1	5s8d	1D	2		
	5s4d	3D	1	5s7p	3P	0		
	5s4d	1D	2	5s5f	3F	3		
	5s4d	1D	2	5s5f	3F	2		
	5s4d	3D	2	5s7p	3P	1		
2.00E-01	5s5p	3P	1	5p2	3P	2		
	5s4d	3D	3	5s7p	3P	2		
3.90E-01	5s5p	3P	0	5p2	3P	1		
4.30E-02	5s4d	1D	2	4d5p	1P	1		
	5s5p	1P	1	5s9s	1S	0		
1.00E-01	5s5p	3P	1	5p2	3P	1		
3.10E-01	5s5p	3P	2	5p2	3P	2		
3.50E-01	5s5p	3P	0	5s5d	3D	1		
1.55E-01	5s4d	3D	1	5s4f	3F	2		
1.70E-01	5s4d	3D	2	5s4f	3F	3		
2.70E-02	5s4d	3D	2	5s4f	3F	2		
2.80E-01	5s5p	3P	1	5s5d	3D	2		
9.38E-02	5s5p	3P	1	5s5d	3D	1		
1.80E-01	5s4d	3D	3	5s4f	3F	4		
1.50E-02	5s4d	3D	3	5s4f	3F	3		
	5s5p	1P	1	5s7d	3D	2		
3.18E-01	5s5p	3P	2	5s5d	3D	3		
	5s5p	1P	1	5s7d	1D	2		
4.74E-02	5s5p	3P	2	5s5d	3D	2		
2.90E-03	5s5p	3P	2	5s5d	3D	1		
	5s4d	3D	3	4d5p	1F	3		
1.50E-01	5s4d	1D	2	5s4f	1F	3		
	5s5p	1P	1	5s8s	1S	0		
1.30E-02	5s4d	3D	1	4d5p	3P	2		
1.40E-01	5s4d	3D	1	4d5p	3P	1		
	5s4d	3D	1	4d5p	3P	0		
9.31E-02	5s4d	3D	2	4d5p	3P	2		
1.80E-01	5s4d	3D	2	4d5p	3P	1		
2.40E-01	5s4d	3D	3	4d5p	3P	2		
4.30E-02	5s4d	1D	2	5s7p	1P	1		
	5s4d	1D	2	5s4f	3F	3		
9.17E-02	5s4d	3D	2	4d5p	3D	3		
3.60E-01	5s4d	3D	3	4d5p	3D	3		
1.15E-01	5s4d	3D	1	4d5p	3D	2		
2.50E-01	5s4d	3D	2	4d5p	3D	2		
2.90E-01	5s4d	3D	1	4d5p	3D	1		
7.45E-02	5s4d	3D	3	4d5p	3D	2		
7.85E-02	5s4d	3D	2	4d5p	3D	1		
	5s5p	1P	1	5s6d	1D	2		
	5s5p	1P	1	5s6d	3D	2		
	5s5p	1P	1	5s6d	3D	1		
2.00E-03	5s4d	1D	2	4d5p	1F	3		
1.50E-03	5s4d	1D	2	4d5p	3P	2		
	5s5p	1P	1	5s7s	1S	0		
	5s4d	1D	2	4d5p	3D	2		
	5s4d	1D	2	4d5p	3D	1		
8.30E-05	5s4d	3D	1	5s6p	1P	1		
1.30E-02	5s4d	3D	2	5s6p	3P	2		
2.20E-02	5s4d	3D	1	5s6p	3P	1		
3.70E-02	5s4d	3D	1	5s6p	3P	0		
5.30E-02	5s4d	3D	1	4d5p	1D	2		
4.80E-02	5s4d	3D	3	5s6p	3P	2		
5.10E-02	5s4d	3D	2	5s6p	3P	1		
1.90E-01	5s4d	3D	3	4d5p	3F	4		
6.70E-03	5s4d	3D	3	4d5p	1D	2		
	5s5p	1P	1	5p2	1S	0		
1.80E-01	5s4d	3D	2	4d5p	3F	3		
2.40E-02	5s4d	3D	3	4d5p	3F	3		
9.50E-01	5s5p	1P	1	5p2	1D	2		
1.80E-01	5s4d	3D	1	4d5p	3F	2		
2.90E-02	5s4d	3D	2	4d5p	3F	2		
1.80E-01	5s5p	3P	0	5s6s	3S	1		
1.90E-01	5s5p	3P	1	5s6s	3S	1		
1.00E-03	5s2	1S	0	5s5p	3P	1		
1.90E-01	5s5p	3P	2	5s6s	3S	1		
	5s5p	1P	1	5p2	3P	2		
4.30E-02	5s4d	1D	2	5s6p	1P	1		
4.70E-02	5s4d	1D	2	5s6p	3P	2		
7.60E-03	5s4d	1D	2	5s6p	3P	1		
3.10E-01	5s4d	1D	2	4d5p	1D	2		
	5s5p	1P	1	5p2	3P	0		
5.80E-03	5s4d	1D	2	4d5p	3F	3		
	5s5p	1P	1	5s5d	3D	2		
6.80E-02	5s4d	1D	2	4d5p	3F	2		
9.70E-02	5s5p	1P	1	5s5d	1D	2		
	4d5p	1D	2	4d2	3P	2		
	5s6p	3P	1	4d2	3P	2		
